idDeparture;depTime;depSeq;jointDep;idealDwell;maxDwell;reqDBM;reqTBM;
Dep49;d1 21:28:25;DepSeq1;;00:15:00;07:56:35;910;11:55:52;
Dep50;d1 21:34:00;DepSeq2;;00:30:00;07:42:32;600;12:26:22;
Dep51;d1 21:35:30;DepSeq1;;00:30:00;06:55:40;610;04:05:50;
Dep52;d1 21:40:46;DepSeq2;;00:30:00;04:17:13;840;07:40:46;
Dep53;d1 21:42:59;DepSeq1;;00:15:00;07:50:32;1090;09:33:03;
Dep54;d1 21:46:59;DepSeq1;;00:15:00;00:03:15;280;07:16:17;
Dep55;d1 21:52:59;DepSeq2;;00:15:00;08:17:59;270;09:09:43;
Dep56;d1 21:57:54;DepSeq2;;00:15:00;00:57:21;450;07:41:06;
Dep57;d1 22:00:45;DepSeq2;;00:30:00;04:46:35;390;08:45:23;
Dep58;d1 22:04:13;DepSeq1;;00:15:00;03:12:26;860;06:10:04;
Dep59;d1 22:06:50;DepSeq1;;00:30:00;07:11:24;360;04:31:49;
Dep60;d1 22:09:59;DepSeq2;;00:30:00;01:35:30;290;04:28:57;
Dep61;d1 22:16:59;DepSeq1;;00:15:00;08:49:21;680;05:54:42;
Dep62;d1 22:19:59;DepSeq1;;00:30:00;00:05:13;690;10:51:38;
Dep63;d1 22:23:59;DepSeq2;;00:15:00;01:56:30;570;05:48:51;
Dep64;d1 22:29:59;DepSeq2;;00:15:00;02:47:41;970;01:19:40;
Dep65;d1 22:35:08;DepSeq1;;00:30:00;07:22:17;170;12:21:03;
Dep66;d1 22:40:37;DepSeq1;;00:30:00;01:46:22;1030;06:58:56;
Dep67;d1 22:51:19;DepSeq2;;00:30:00;07:05:38;760;03:22:45;
Dep68;d1 23:02:14;DepSeq1;;00:15:00;04:21:14;710;08:32:12;
Dep69;d1 23:10:47;DepSeq2;;00:30:00;02:03:26;650;08:58:58;
Dep70;d1 23:13:13;DepSeq1;;00:30:00;03:41:24;840;12:41:37;
