idDeparture;depTime;depSeq;jointDep;idealDwell;maxDwell;reqDBM;reqTBM;
Dep61;d1 16:32:57;DepSeq1;;00:15:00;05:07:59;1020;03:07:28;
Dep62;d1 16:44:57;DepSeq1;;00:30:00;03:05:54;100;10:20:58;
Dep63;d1 16:52:59;DepSeq2;;00:15:00;08:21:11;390;02:20:02;
Dep64;d1 17:19:59;DepSeq2;;00:30:00;01:09:29;720;12:31:36;
Dep65;d1 17:32:47;DepSeq2;;00:30:00;01:34:17;650;07:57:57;
Dep66;d1 17:33:47;DepSeq1;;00:30:00;08:17:22;110;03:14:54;
Dep67;d1 17:44:51;DepSeq2;;00:30:00;04:46:33;1020;05:02:22;
Dep68;d1 17:52:58;DepSeq1;;00:30:00;00:55:51;250;07:10:16;
Dep69;d1 17:56:18;DepSeq1;;00:15:00;05:16:46;210;03:57:00;
Dep70;d1 18:00:00;DepSeq1;;00:15:00;05:44:43;940;04:10:47;
Dep71;d1 18:02:12;DepSeq1;;00:30:00;07:14:27;870;01:14:37;
Dep72;d1 18:07:36;DepSeq1;;00:30:00;07:48:04;360;03:50:47;
Dep73;d1 18:10:58;DepSeq1;;00:30:00;01:26:32;830;05:39:45;
Dep74;d1 18:13:58;DepSeq2;;00:30:00;06:24:26;440;12:33:37;
Dep75;d1 18:17:39;DepSeq2;;00:30:00;00:40:02;370;03:48:01;
Dep76;d1 18:20:31;DepSeq2;;00:30:00;04:22:08;770;10:06:57;
Dep77;d1 18:22:31;DepSeq1;;00:30:00;08:38:49;370;12:37:31;
Dep78;d1 18:23:31;DepSeq2;;00:15:00;03:58:48;650;08:00:59;
Dep79;d1 19:26:54;DepSeq1;;00:15:00;00:49:13;340;03:06:34;
Dep80;d1 19:28:14;DepSeq1;;00:30:00;06:18:31;220;05:17:39;
Dep81;d1 19:30:30;DepSeq2;;00:30:00;00:00:21;790;08:50:35;
Dep82;d1 19:32:46;DepSeq2;;00:30:00;01:20:16;960;09:48:09;
Dep83;d1 19:36:57;DepSeq2;;00:30:00;02:32:40;920;03:19:05;
Dep84;d1 19:39:59;DepSeq2;;00:15:00;02:55:35;550;06:43:01;
Dep85;d1 19:46:00;DepSeq1;;00:15:00;07:29:30;510;10:26:53;
Dep86;d1 19:48:15;DepSeq1;;00:15:00;08:14:57;160;09:56:56;
Dep87;d1 19:53:23;DepSeq2;;00:15:00;01:29:31;930;11:48:27;
Dep88;d1 19:57:35;DepSeq2;;00:15:00;03:03:12;590;05:16:05;
Dep89;d1 20:01:51;DepSeq1;;00:15:00;04:26:45;460;06:16:35;
Dep90;d1 20:05:58;DepSeq2;;00:15:00;03:49:06;770;03:33:03;
Dep91;d1 20:08:59;DepSeq2;;00:30:00;04:57:16;890;06:19:38;
Dep92;d1 20:10:59;DepSeq1;;00:30:00;03:25:28;390;03:15:40;
Dep93;d1 20:13:59;DepSeq2;;00:30:00;06:43:07;1010;07:25:52;
Dep94;d1 20:16:30;DepSeq2;;00:15:00;06:36:22;740;11:47:31;
Dep95;d1 20:19:04;DepSeq2;;00:30:00;05:02:21;270;05:15:16;
Dep96;d1 20:20:06;DepSeq1;;00:30:00;04:20:46;530;02:07:20;
Dep97;d1 20:25:34;DepSeq1;;00:30:00;08:14:16;560;07:38:13;
Dep98;d1 20:28:19;DepSeq1;;00:15:00;07:56:42;810;09:04:47;
Dep99;d1 20:31:50;DepSeq1;;00:15:00;08:45:40;750;01:02:10;
Dep100;d1 20:36:21;DepSeq1;;00:15:00;07:24:43;540;01:39:19;
Dep101;d1 20:39:27;DepSeq1;;00:15:00;08:19:25;900;12:33:29;
Dep102;d1 20:43:57;DepSeq1;;00:30:00;06:38:29;910;04:26:41;
Dep103;d1 20:47:59;DepSeq2;;00:30:00;06:11:35;370;03:39:23;
Dep104;d1 20:50:00;DepSeq1;;00:30:00;03:16:49;180;11:36:30;
Dep105;d1 20:52:34;DepSeq1;;00:30:00;05:56:51;580;04:18:16;
Dep106;d1 20:55:27;DepSeq1;;00:30:00;07:22:38;90;10:53:17;
Dep107;d1 21:00:00;DepSeq2;;00:30:00;08:40:38;1090;10:14:13;
Dep108;d1 21:00:33;DepSeq1;;00:15:00;03:21:05;140;01:32:25;
Dep109;d1 21:04:34;DepSeq2;;00:30:00;07:43:48;180;09:46:48;
Dep110;d1 21:06:35;DepSeq2;;00:15:00;05:27:41;70;09:11:01;
Dep111;d1 21:14:19;DepSeq1;;00:30:00;06:45:25;920;07:47:35;
Dep112;d1 21:15:35;DepSeq2;;00:15:00;00:06:57;620;07:54:29;
Dep113;d1 21:18:00;DepSeq2;;00:15:00;02:33:59;890;02:30:17;
Dep114;d1 21:20:15;DepSeq1;;00:15:00;08:01:58;210;06:20:19;
Dep115;d1 21:22:43;DepSeq2;;00:30:00;02:57:38;700;10:25:33;
Dep116;d1 21:25:07;DepSeq1;;00:30:00;00:17:21;100;07:28:48;
Dep117;d1 21:27:57;DepSeq2;;00:15:00;04:33:05;450;06:30:49;
Dep118;d1 21:30:44;DepSeq1;;00:15:00;03:20:04;840;09:12:22;
Dep119;d1 21:35:55;DepSeq1;;00:15:00;05:52:33;300;08:06:47;
Dep120;d1 21:38:57;DepSeq1;;00:15:00;05:01:07;350;11:58:15;
Dep121;d1 21:40:00;DepSeq1;;00:30:00;00:54:59;860;05:14:03;
Dep122;d1 21:42:58;DepSeq2;;00:30:00;00:48:13;240;01:37:07;
Dep123;d1 21:45:59;DepSeq2;;00:15:00;04:02:30;720;10:02:33;
Dep124;d1 21:47:59;DepSeq2;;00:15:00;01:46:38;800;03:24:24;
Dep125;d1 21:50:47;DepSeq2;;00:30:00;05:43:21;140;08:19:02;
Dep126;d1 21:53:56;DepSeq2;;00:30:00;08:03:54;410;12:02:21;
Dep127;d1 21:59:59;DepSeq2;;00:15:00;06:05:23;510;09:22:55;
Dep128;d1 22:00:55;DepSeq2;;00:15:00;00:02:05;280;11:04:58;
Dep129;d1 22:04:57;DepSeq2;;00:30:00;00:18:01;670;09:20:20;
Dep130;d1 22:09:57;DepSeq2;;00:15:00;04:20:31;380;06:41:32;
Dep131;d1 22:11:10;DepSeq2;;00:15:00;04:55:27;870;12:49:50;
Dep132;d1 22:15:02;DepSeq1;;00:30:00;03:57:30;60;07:08:10;
Dep133;d1 22:17:40;DepSeq2;;00:30:00;01:23:05;80;07:36:21;
Dep134;d1 22:22:43;DepSeq1;;00:30:00;06:33:46;620;06:54:11;
Dep135;d1 22:25:47;DepSeq1;;00:30:00;00:29:36;1080;07:23:15;
Dep136;d1 22:28:50;DepSeq2;;00:30:00;00:24:29;480;07:11:05;
Dep137;d1 22:30:50;DepSeq1;;00:30:00;08:10:22;1040;05:54:25;
Dep138;d1 22:33:22;DepSeq1;;00:15:00;04:37:25;140;04:50:26;
Dep139;d1 22:35:49;DepSeq2;;00:30:00;04:35:56;1060;10:46:30;
Dep140;d1 22:39:52;DepSeq2;;00:30:00;02:42:52;740;08:26:09;
Dep141;d1 22:42:53;DepSeq2;;00:15:00;08:29:57;640;10:15:28;
Dep142;d1 22:48:58;DepSeq2;;00:30:00;03:32:24;1050;01:49:18;
Dep143;d1 22:51:59;DepSeq2;;00:15:00;08:34:10;400;10:56:15;
Dep144;d1 22:54:00;DepSeq1;;00:30:00;00:15:43;710;05:03:44;
Dep145;d1 23:06:00;DepSeq1;;00:30:00;04:14:08;980;07:01:21;
Dep146;d1 23:13:00;DepSeq2;;00:30:00;07:43:01;530;10:26:55;
Dep147;d1 23:20:59;DepSeq2;;00:30:00;08:42:59;880;12:46:45;
Dep148;d1 23:23:59;DepSeq2;;00:15:00;04:40:39;960;09:20:03;
Dep149;d1 23:26:59;DepSeq1;;00:15:00;07:26:59;520;06:39:54;
Dep150;d1 23:28:59;DepSeq2;;00:15:00;05:11:34;610;12:48:17;
Dep151;d1 23:30:33;DepSeq2;;00:15:00;06:01:35;110;06:09:56;
Dep152;d1 23:33:33;DepSeq1;;00:30:00;04:27:48;310;03:48:18;
Dep153;d1 23:35:00;DepSeq1;;00:30:00;01:44:34;360;10:16:59;
Dep154;d1 23:39:00;DepSeq2;;00:15:00;03:58:33;640;07:26:11;
Dep155;d1 23:42:40;DepSeq2;;00:15:00;02:14:52;550;09:52:49;
Dep156;d1 23:46:40;DepSeq1;;00:30:00;04:48:24;310;01:51:01;
Dep157;d1 23:49:40;DepSeq1;;00:15:00;06:14:26;830;06:21:53;
Dep158;d1 23:51:50;DepSeq2;;00:15:00;01:01:37;140;06:00:11;
Dep159;d1 23:53:50;DepSeq2;;00:15:00;08:32:05;800;04:25:10;
Dep160;d1 23:59:59;DepSeq1;;00:15:00;03:57:38;60;03:50:24;
